time_ms, torque_y, torque_z, thrust, torque_x_sp, torque_y_sp, torque_z_sp, thrust_sp, amp_cut_in, phase_lag
1283505, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283515, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283525, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283535, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283545, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283556, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283566, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283576, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283586, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283596, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283606, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283616, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283626, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283636, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283646, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283656, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283666, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283676, -0.00019, -0.02355, 0.88046, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283686, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283697, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283708, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283718, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283728, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283738, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283748, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283759, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283769, -0.00017, -0.02356, 0.87824, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283779, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283789, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283799, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283809, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283819, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283829, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283839, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283849, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283859, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283869, -0.00018, -0.02351, 0.87711, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283879, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283889, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283899, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283909, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283919, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283929, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283939, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283949, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283959, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283969, -0.00017, -0.02353, 0.87717, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283979, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283989, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283999, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284009, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284019, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284029, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284039, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284049, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284059, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284069, -0.00019, -0.02356, 0.87794, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284079, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284089, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284099, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284109, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284119, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284129, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284139, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284149, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284159, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284169, -0.00021, -0.02349, 0.87952, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284179, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
